motif_count_g1,motif_count_g2,motif_count_other_g1,motif_count_other_g2,motif,oddsratio,pvalue,log2FC,qvalues,-log10-qvalues
1366,115430,443710,19923457,EBF1,0.5313705535797194,9.5277007346928e-147,-0.9122098132041921,9.595755739940606e-146,145.01792081553393
5936,175241,439140,19863646,EGR,1.5321953457646762,8.748139333502031e-200,0.6156002439989868,1.2984080484460909e-198,197.8865888011109
1784,130464,443292,19908423,ETS/1,0.6141170092958326,1.972607194054668e-108,-0.7034145326990202,1.4638821808510957e-107,106.83449387564463
5023,279139,440053,19759748,ETS/2,0.8080143530896396,1.7497386280708856e-53,-0.30754717450023183,7.958488598644996e-53,52.09916940155787
79,5759,444997,20033128,EVI1/MECOM,0.6175493878270741,5.468578761879511e-06,-0.695373575641073,8.031975056510532e-06,5.095177648908799
830,20158,444246,20018729,EWSR1/FLI1,1.8554259478097173,4.9706231080544716e-57,0.8917504225608454,2.3757893499514593e-56,55.624192068829444
1872,222778,443204,19816109,Ebox/CACCTG,0.375706107295075,1e-300,-1.4123235269707497,2.563636363636364e-299,298.5911435768389
1944,129913,443132,19908974,Ebox/CACGTG/1,0.6722942785309388,2.058097920805632e-76,-0.5728352231256714,1.2617035079721482e-75,74.89904268944996
2627,159808,442449,19879079,Ebox/CACGTG/2,0.7385749915831908,1.7838598374807772e-58,-0.43718368169360156,8.825411827536478e-58,57.05426501962246
3652,232644,441424,19806243,Ebox/CAGATGG,0.7043444124721081,1.185897214671587e-108,-0.5056470400840956,9.038459852361826e-108,107.04390556671551
2860,284768,442216,19754119,Ebox/CAGCTG,0.4486400721359666,1e-300,-1.1563696084580337,2.563636363636364e-299,298.5911435768389
488,56063,444588,19982824,Ebox/CATATG,0.3912394279987735,2.749003459835892e-130,-1.3538763265604723,2.2800558108050634e-129,128.6420545222855
298,21701,444778,20017186,FEZF1,0.6180110554276608,5.269472557765758e-19,-0.6942954485570634,1.2081229766584909e-18,17.917888855974947
143,14758,444933,20024129,FOX/1,0.43608138464119917,6.0848774976113246e-30,-1.1973306886435742,1.7509545452310137e-29,28.756725128052235
72,4653,445004,20034234,FOX/2,0.696639781578822,0.0016348067203086777,-0.5215152345843879,0.00215427801461237,2.6666982507034027
583,16990,444493,20021897,FOX/3,1.5456653555860942,3.322428217001934e-22,0.6282280022537954,8.2186382210047855e-22,21.085200136486385
946,66960,444130,19971927,FOX/4,0.6353097955916714,3.0893673695739023e-50,-0.6544678312302004,1.3403101511074469e-49,48.87279469318093
2683,99190,442393,19939697,FOX/5,1.219166695874284,1.1473764629739806e-22,0.2858953982052997,2.863364270430642e-22,21.54312339854684
106,8921,444970,20029966,FOX/6,0.534862076765618,1.568096452048454e-12,-0.9027611787369257,2.9678067079037852e-12,11.527564387902578
1072,61672,444004,19977215,FOX/7,0.782086543743576,1.285661754991785e-16,-0.35459983349120155,2.685604554871728e-16,15.570957935182006
324,22070,444752,20016817,FOX/8,0.6607235492631306,2.7276324095980695e-15,-0.5978813292554556,5.455264819196139e-15,14.263184162266466
166,10708,444910,20028179,FOX/9,0.6978611511184657,1.2835392963039157e-06,-0.5189880735231281,1.9671634867266534e-06,5.706159545300398
505,36658,444571,20002229,GATA,0.6198118522176692,9.113377759335197e-31,-0.6900977520765499,2.677054716804714e-30,29.572342752099022
69077,1986437,375999,18052450,GC-tract,1.6695834573066213,1e-300,0.7394882110608314,2.563636363636364e-299,298.5911435768389
896,52727,444180,19986160,GCM,0.7646193910434079,1.0689444470090946e-16,-0.387186306946783,2.2495696571385425e-16,15.647900554513297
416,45479,444660,19993408,GFI,0.41128340729415863,3.6690785561539594e-98,-1.281795225571081,2.4635241734176587e-97,96.60844317183827
2700,132868,442376,19906019,GLI,0.9144000122819003,3.3994707532231037e-06,-0.12910267195719724,5.106197501821109e-06,5.291902391197998
2609,66199,442467,19972688,GLIS,1.7790095608005143,4.9103715876929745e-154,0.8310742639959804,6.294203580588267e-153,152.20105921431502
