motif_count_g1,motif_count_g2,motif_count_other_g1,motif_count_other_g2,motif,oddsratio,pvalue,qvalues,-log10-qvalues,log2FC
254,23118,480727,20015769,STAT/1,0.45746431542773036,2.1409839947630485e-45,6.783791983406513e-45,44.168527477650485,-1.1282688847438544
528,61697,480453,19977190,STAT/2,0.3558388533225127,1.2562137146663645e-176,1.2651866697711243e-175,174.89784539253512,-1.4907040507369944
60,6581,480921,20032306,TATA,0.379766422705381,1.5192926582302718e-18,3.0823059684959472e-18,17.511124252757785,-1.3968157405791952
2081,39499,478900,19999388,TBX/1,2.2001781558116473,1.3026659596735628e-214,1.669780911945203e-213,212.77734050787942,1.137620348340671
692,30842,480289,20008045,TBX/2,0.9346856539541963,0.0799694135149646,0.0909329621420162,1.041278661535842,-0.09744684403953173
4345,141028,476636,19897859,TBX/3,1.2861864845630722,2.955693796601004e-55,1.1417885625225796e-54,53.94241431170437,0.36309983461709133
4164,111179,476817,19927708,TBX/4,1.5652855545172808,3.336138175570288e-154,2.850881713669155e-153,152.54502080168965,0.6464258715387878
319,34254,480662,20004633,TCF/LEF,0.38758788066448724,8.841250593559846e-88,4.9864653347677525e-87,86.30220719576967,-1.3674046345022692
1066,79379,479915,19959508,TEAD,0.5585178901295801,4.703124669630522e-96,2.8832199061647977e-95,94.54012223225914,-0.8403246018459952
4777,348049,476204,19690838,TFAP2/1,0.5675263247377746,1e-300,0.0,400.0,-0.8172407814480254
1633,97141,479348,19941746,TFAP2/2,0.6993520873062028,6.610063142122118e-52,2.3300472575980463e-51,50.632635270602336,-0.5159091346731645
648,33934,480333,20004953,TFCP2,0.7953074689166518,2.4818231871801144e-09,3.931877184184226e-09,8.405400056217346,-0.3304153752141247
500,43585,480481,19995302,THAP1,0.4774025156715562,1.945265924994126e-77,9.795803408006133e-77,76.0089599393165,-1.066721926169147
935,63181,480046,19975706,YY1,0.6158066828841793,4.381325125483174e-57,1.7401882892764158e-56,55.75940375828657,-0.6994505709415453
49,1976,480932,20036911,ZBED1,1.033133000386126,0.8253380696906312,0.8282752158461139,0.0818253336698171,0.04702599151778193
319,23676,480662,20015211,ZBTB14,0.5610515097417079,1.8917547063826908e-29,4.985746048597372e-29,28.302269846269795,-0.8337948651629019
420,34523,480561,20004364,ZBTB48,0.50642715853263,2.0226903228396494e-54,7.708090149199745e-54,53.113053214739075,-0.9815733196042881
320,13970,480661,20024917,ZBTB49,0.9543010709972604,0.422557557053266,0.4479745529662444,0.34874665524342596,-0.06748360317364908
640,38815,480341,20000072,ZBTB6,0.6865343708093622,1.3914429742888324e-23,3.1644106350762153e-23,22.499707164562444,-0.5425961453016721
1041,69314,479940,19969573,ZBTB7A,0.6249015458200129,2.617439143543745e-59,1.1533091226239627e-58,57.93805427270826,-0.6782991859860648
1188,44995,479793,19993892,ZFN121,1.1002607459198417,0.001360585634433333,0.001751986981325114,2.756469125313869,0.13784546217513857
3536,227312,477445,19811575,ZFX,0.6454840964528151,3.724768649583476e-168,3.5012825306084676e-167,166.45577284309573,-0.6315465442833279
3729,163911,477252,19874976,ZIC,0.9474212890744347,0.0010895150590085954,0.00141586749603882,2.848977388194128,-0.07792200445736039
11513,418059,469468,19620828,ZIC/2,1.1509653858240387,5.129978771509957e-47,1.6821558297276837e-46,45.774133774973244,0.2028444464580579
307,16386,480674,20022501,ZIM3,0.7804284941820229,9.377579236934528e-06,1.3222386724077684e-05,4.878690144885171,-0.35766164181915716
372,20235,480609,20018652,ZKSCAN1,0.7657423413502976,1.147036453276819e-07,1.7297555070805505e-07,6.762015278044378,-0.38506906225176757
817,30776,480164,20008111,ZNF134,1.1061814601975077,0.004950342801481794,0.006260074753443345,2.203420480717029,0.14558806753778475
324,11872,480657,20027015,ZNF136,1.137108939702798,0.02469905890755067,0.029513282253937664,1.5299824887207978,0.18537047695674966
530,23644,480451,20015243,ZNF140,0.9338275542218162,0.12052666889406285,0.13541243278137738,0.8683414594288322,-0.098771936428611
4560,162440,476421,19876447,ZNF143,1.1711694101463663,1.4952145643761598e-24,3.5432815727233364e-24,23.45059433436706,0.22794977737660557
323,12770,480658,20026117,ZNF146,1.0538339830240477,0.35508389882434177,0.38218953995597094,0.4177212032087041,0.07564760821534483
90,5029,480891,20033858,ZNF232,0.7455535041682972,0.004773126289907141,0.006063160422314476,2.217300940819255,-0.42361620458058896
175,11557,480806,20027330,ZNF24,0.6307338087224034,8.812668319142633e-11,1.479269324998942e-10,9.82995274844231,-0.664896827971497
158,6968,480823,20031919,ZNF250,0.9446833621351669,0.5056094098912502,0.5320218417512409,0.2740705377099871,-0.08209724536913975
258,21769,480723,20017118,ZNF257,0.4935008154830859,6.502758087735657e-37,1.910185188272349e-36,35.71892452681191,-1.0188756262291303
553,20588,480428,20018299,ZNF274,1.1192054923028456,0.010152997928682034,0.012448458329949277,1.9048844301147108,0.16247494740322055
3960,44428,477021,19994459,ZNF28,3.7360319529084403,1e-300,0.0,400.0,1.9015067939408878
346,14793,480635,20024094,ZNF282,0.9744449826299026,0.6671976041936758,0.6792408822477133,0.16797618259882005,-0.037347361972361603
173,9911,480808,20028976,ZNF306,0.7271360690082165,1.5704238752528253e-05,2.1815740533068806e-05,4.661230040345422,-0.4597027338857619
323,15304,480658,20023583,ZNF317,0.87923138569582,0.021365888100148618,0.025748634377102182,1.5892457995632243,-0.18568520816854084
5907,150519,475074,19888368,ZNF320,1.6429090838694995,2.532227927465158e-262,4.760588503634497e-261,260.32233935650584,0.7162526459119924
4581,118995,476400,19919892,ZNF324,1.6097068979148734,3.313464915540388e-189,3.893321275759956e-188,187.40967975694645,0.6867980203770859
772,31534,480209,20007353,ZNF329,1.0199939045985014,0.5809114559947706,0.6022684948181077,0.22020985455233716,0.028560530793055414
1575,56237,479406,19982650,ZNF331,1.16736866005081,3.4763634114576877e-09,5.446302677950377e-09,8.263898226435115,0.22326024230983696
2247,94779,478734,19944108,ZNF332,0.9876687094849642,0.5729852685779286,0.5962429732065531,0.22457672613313234,-0.017900890458971207
3898,135648,477083,19903239,ZNF335,1.1988318055420955,2.8242138330073e-27,7.175029737910438e-27,26.14417629459625,0.261629264814279
9580,184256,471401,19854631,ZNF354,2.189854150807502,1e-300,0.0,400.0,1.1308347863042276
400,14290,480581,20024597,ZNF382,1.1663394096563335,0.0029333766386941853,0.0037600555095989104,2.424805743547193,0.22198767993967927
112,10939,480869,20027948,ZNF384/1,0.426432282536509,4.15546860775339e-25,1.0102087477469448e-24,23.99558887510126,-1.2296114351852645
2598,348871,478383,19690016,ZNF384/2,0.30650997147403924,1e-300,0.0,400.0,-1.705994086021411
1663,45018,479318,19993869,ZNF41,1.5409166794479159,4.982510101711992e-59,2.1616428441273567e-58,57.66521606044654,0.6237888544567639
96,5997,480885,20032890,ZNF410,0.6668675115498421,3.2240593067557876e-05,4.413518080122e-05,4.3552150899713675,-0.5845279293035363
389,23088,480592,20015799,ZNF418,0.7017132571426806,2.756964833841867e-13,5.015897310602622e-13,12.299651363304761,-0.5110464760509958
871,42154,480110,19996733,ZNF423,0.8605927040468133,7.924953798644795e-06,1.1230336538783077e-05,4.949607229068331,-0.21659748546344368
337,15166,480644,20023721,ZNF431,0.9257209862242245,0.16729517352193615,0.18647130013116994,0.7293880011410818,-0.1113506664627772
66,2938,480915,20035949,ZNF435,0.9359092475373856,0.6726066501958524,0.6822844437238503,0.1660345306428691,-0.09555945233874825
840,27375,480141,20011512,ZNF436,1.278899063126234,1.3732591162995261e-11,2.37582252022372e-11,10.624186005343367,0.35490240427143877
673,61610,480308,19977277,ZNF449,0.4543393230443728,7.500353902122886e-120,5.158780000972327e-119,118.28745299246027,-1.138157918909394
61,2178,480920,20036709,ZNF490,1.1668781615539912,0.23445303433413073,0.2552731879622582,0.5929947979318866,0.22265393131239686
454,27283,480527,20011604,ZNF524,0.6929913841469467,2.516179241961674e-16,4.860017439953371e-16,15.313362172288752,-0.5290906792142573
496,31356,480485,20007531,ZNF528,0.6586803156832289,6.241502728536115e-23,1.3859084798796728e-22,21.858265447931696,-0.6023496583059248
231,35699,480750,20003188,ZNF53,0.26923768819544625,5.163795382425607e-140,4.044973049566726e-139,138.393084367615,-1.8930477207232121
561,22551,480420,20016336,ZNF547,1.036479125729733,0.3962764217724529,0.4216979280748367,0.3749985327956082,0.0516910614454479
431,22747,480550,20016140,ZNF549,0.7892142003635444,5.133851037320414e-07,7.579821950389303e-07,6.120340995802197,-0.3415111801211855
1890,70030,479091,19968857,ZNF554,1.1248972946358378,7.364974304171767e-07,1.0705787390600197e-06,5.970381385649578,0.1697932865235863
2750,98576,478231,19940311,ZNF563,1.163203513378999,2.5082005398642945e-14,4.684189087693583e-14,13.329365581984725,0.2181035319413312
339,28502,480642,20010385,ZNF57,0.4951742915105695,1.661460603534089e-47,5.512139884666037e-47,46.258679769625886,-1.0139916803210514
221,8160,480760,20030727,ZNF586,1.1284192866503038,0.07684423958573525,0.0880897380616965,1.055074681403601,0.1743032294169804
74,7437,480907,20031450,ZNF652,0.41446248536153807,2.8144410564744053e-18,5.669088413755588e-18,17.246486769802686,-1.2706865712898645
909,39522,480072,19999365,ZNF667,0.9581528579313376,0.21112794675218394,0.23166568476309676,0.6351382908613725,-0.061672261694423046
379,14711,480602,20024176,ZNF680,1.0734111310425931,0.17829309303786411,0.19794744975069953,0.7034500890940611,0.10220275373850796
593,24968,480388,20013919,ZNF708,0.9894888966374257,0.8200134180509109,0.8258706567512746,0.08308796412964035,-0.01524457645338105
104,5396,480877,20033491,ZNF713,0.8029417273933586,0.02572431500704804,0.03060867861598121,1.51415541859524,-0.31663280534050925
1837,54796,479144,19984091,ZNF768,1.3982300896007935,5.572421150586742e-41,1.6897018972746898e-40,39.772189908278776,0.48360178690228045
84,5460,480897,20033427,ZNF784,0.6408993385917758,1.92999579234651e-05,2.6549210411791017e-05,4.575948390548663,-0.6418303138911999
485,22250,480496,20016637,ZNF85,0.9080568941120393,0.03524307075959576,0.041583874285380774,1.381075050781884,-0.13914540278762372
1873,82609,479108,19956278,ZSCAN3,0.9444012103531589,0.014295327824451903,0.017376217441790676,1.7600447574009292,-0.08252820434856924
2500,59846,478481,19979041,ZSCAN4,1.7442744587155752,1.747261277961557e-138,1.331696433473403e-137,136.87559476337347,0.8026270636666799
