motif_count_g1,motif_count_g2,motif_count_other_g1,motif_count_other_g2,motif,oddsratio,pvalue,qvalues,-log10-qvalues,log2FC
2851,159808,478130,19879079,Ebox/CACGTG/2,0.7417353314539638,1.97232804672316e-61,8.97091143832147e-61,60.047163430698966,-0.43102360361373676
3766,232644,477215,19806243,Ebox/CAGATGG,0.6718564274013205,7.285998058479246e-146,5.8704327214032785e-145,144.2313298848527,-0.5737751261780641
2950,284768,478031,19754119,Ebox/CAGCTG,0.42808739011911806,1e-300,0.0,400.0,-1.224022755219266
505,56063,480476,19982824,Ebox/CATATG,0.37462797813289966,9.620970969076484e-150,7.97974650964579e-149,148.09801090454033,-1.4164694472916888
309,21701,480672,20017186,FEZF1,0.5929702880047929,3.2557554578414033e-23,7.286690786597427e-23,22.1374696595302,-0.7539682775057132
147,14758,480834,20024129,FOX/1,0.4148091177992386,6.675313489750902e-35,1.8824384041097543e-34,33.725279225588295,-1.2694804889252909
75,4653,480906,20034234,FOX/2,0.6714918676105235,0.0003633542919600439,0.00047881266510622607,3.3198343705609474,-0.5745581675042115
648,16990,480333,20021897,FOX/3,1.5898070742851222,3.328131416185757e-27,8.30560229526003e-27,26.080628868447572,0.6688517027049049
1005,66960,479976,19971927,FOX/4,0.6245267782542353,1.571685807782423e-57,6.517873496980048e-57,56.185894072851646,-0.6791646623234112
2900,99190,478081,19939697,FOX/5,1.2194027721312846,2.2189577274021187e-24,5.129066222355717e-24,23.289961693638865,0.28617473086387596
112,8921,480869,20029966,FOX/6,0.5229472877938802,4.497756706861928e-14,8.344522311414893e-14,13.078598519794141,-0.9352625623175769
1125,61672,479856,19977215,FOX/7,0.7594313197359455,1.5384208306901803e-21,3.311715070646037e-21,20.4799470355856,-0.3970085964623815
337,22070,480644,20016817,FOX/8,0.6359149881438144,8.260478901112082e-19,1.7128345956717702e-18,17.766284573786006,-0.6530941821778977
173,10708,480808,20028179,FOX/9,0.6729883087958082,4.71866461960469e-08,7.231866427872404e-08,7.140749603850955,-0.5713466524422822
535,36658,480446,20002229,GATA,0.6076014872792078,2.605455210522613e-35,7.497330299667111e-35,34.12509335561208,-0.718802693632436
76369,1986437,404612,18052450,GC-tract,1.7152984681657732,1e-300,0.0,400.0,0.7784596324200094
925,52727,480056,19986160,GCM,0.7303753853115769,2.75743222829969e-23,6.220767107044101e-23,22.206156057461207,-0.45328994961904473
422,45479,480559,19993408,GFI,0.3860483117682274,1.310045243997712e-116,8.591459507147785e-116,115.06593305246001,-1.3731466909509271
2851,132868,478130,19906019,GLI,0.8933368308669378,1.6245923419619262e-09,2.5883335617698485e-09,8.586979756325897,-0.1627238516823149
2845,66199,478136,19972688,GLIS,1.795212714631526,2.9357648495709334e-172,2.854778233031046e-171,170.54442762328912,0.844154799013271
83,2504,480898,20036383,GMEB2/1,1.3810522879008955,0.00512535315607595,0.006396786769690703,2.194038125801138,0.46576794238182484
224,14347,480757,20024540,GMEB2/2,0.6503151204995539,9.928004467120714e-12,1.749810787330026e-11,10.757008910434383,-0.6207891265664921
51,1991,480930,20036896,GMEB2/3,1.0672041152311595,0.608788037445011,0.6256389696207871,0.2036762078955053,0.09383613480243239
565,43557,480416,19995330,GRHL,0.539885422245368,1.643003578124172e-58,7.020106197439644e-58,57.153656317982275,-0.8892748326070473
905,60376,480076,19978511,HAND1,0.6237885001925069,2.936535410331614e-52,1.0482316274854621e-51,50.97954274080286,-0.6808711386295601
80,6378,480901,20032509,HD/1,0.5224986088211814,1.9790458232256123e-10,3.2636896032141674e-10,9.486291152008068,-0.9365008989368172
177,12711,480804,20026176,HD/10,0.5799940044960918,4.876611263285096e-15,9.291921461124305e-15,14.03189446967943,-0.7858901079720878
121,7878,480860,20031009,HD/11,0.6398137481148509,2.1377143762370335e-07,3.2065715643555506e-07,6.493959063041958,-0.6442761019273384
627,50944,480354,19987943,HD/12,0.5121311471810818,1.8088435723235904e-77,9.274434316277318e-77,76.03271257021011,-0.9654147902094903
34,5081,480947,20033806,HD/13,0.27873786290178704,2.0262797740023235e-20,4.2963225283357535e-20,19.366903123253874,-1.8430191078369111
135,18240,480846,20020647,HD/14,0.3081633844444561,3.118575096687573e-63,1.441701929944091e-62,61.84112452017235,-1.6982326419203893
87,9259,480894,20029628,HD/15,0.3913620348565857,1.999960446986744e-24,4.6999070504188485e-24,23.32791073097691,-1.3534242847088087
176,19150,480805,20019737,HD/16,0.38267781184964955,9.963857263011306e-51,3.426594814840474e-50,49.46513724663009,-1.38579784076486
91,9460,480890,20029427,HD/17,0.4006572769385447,4.4734283778569655e-24,1.0256152866306213e-23,22.98901551468773,-1.319559415003836
569,51995,480412,19986892,HD/18,0.4552837006715884,4.893902221107199e-101,3.1365464235277955e-100,99.5035482801551,-1.1351622836330097
72,5899,480909,20032988,HD/19,0.5084367410729747,2.6412549596543645e-10,4.3304296431542487e-10,9.363469013024362,-0.9758598075646638
836,102270,480145,19936617,HD/2,0.3394197244628797,1.014613248760593e-309,2.200930278080672e-308,307.65739371497705,-1.5588576892350368
349,60293,480632,19978594,HD/20,0.24060839293257602,1.3635956297188203e-259,2.2619645151806314e-258,257.64551421240003,-2.0552411272236664
55,7716,480926,20031171,HD/21,0.2968920388996321,1.1753712734363977e-28,3.040868799165726e-28,27.517002317451247,-1.7519896866217675
693,72949,480288,19965938,HD/22,0.39491340340211833,9.014868667249826e-180,9.777665246786351e-179,178.00976483554857,-1.3403917610379152
109,6726,480872,20032161,HD/23,0.6750997498389374,1.8214664636381425e-05,2.517909523264491e-05,4.598959879570863,-0.566827410552364
107,6913,480874,20031974,HD/24,0.6447772007614077,1.7138223822845138e-06,2.4532888924072736e-06,5.610251307484243,-0.6331273636300133
23,1823,480958,20037064,HD/25,0.5256154225579636,0.0009051320664469816,0.001181700197861337,2.927492691753857,-0.9279204871847696
43,2499,480938,20036388,HD/3,0.7168570150656522,0.030147791162722783,0.0357213323860833,1.4470723505356753,-0.48024270849448897
213,24374,480768,20014513,HD/4,0.36379964469051046,9.338184865354453e-69,4.540289882810269e-68,67.34291641796099,-1.4587839609234958
385,22613,480596,20016274,HD/5,0.7090969743906888,2.0409144945735783e-12,3.665846417004771e-12,11.435825734039527,-0.4959451544386432
229,12131,480752,20026756,HD/6,0.7863726249368941,0.0002237093294901744,0.00029757561752938294,3.526402656480511,-0.3467149951763226
196,12851,480785,20026036,HD/7,0.6352771441158048,1.392301443103744e-11,2.3940793107027794e-11,10.62086146644839,-0.6545419798316832
282,24858,480699,20014029,HD/8,0.4723285862319984,7.385970440820154e-46,2.3940731773692912e-45,44.620862579058276,-1.082137242085486
